报告日期,value,type
2016/12/31,1.51,流动比率(%)
2017/12/31,0.69,流动比率(%)
2018/12/31,0.67,流动比率(%)
2019/12/31,0.75,流动比率(%)
2020/12/31,1.33,流动比率(%)
2021/12/31,0.85,流动比率(%)
2016/12/31,1.49,速动比率(%)
2017/12/31,0.68,速动比率(%)
2018/12/31,0.66,速动比率(%)
2019/12/31,0.73,速动比率(%)
2020/12/31,1.29,速动比率(%)
2021/12/31,0.79,速动比率(%)
2016/12/31,112.88,现金比率(%)
2017/12/31,42.63,现金比率(%)
2018/12/31,33.5,现金比率(%)
2019/12/31,42.91,现金比率(%)
2020/12/31,75.34,现金比率(%)
2021/12/31,19.88,现金比率(%)
2016/12/31,-165.21,利息支付倍数(%)
2017/12/31,240.77,利息支付倍数(%)
2018/12/31,-254.74,利息支付倍数(%)
2019/12/31,114.04,利息支付倍数(%)
2020/12/31,-123.91,利息支付倍数(%)
2021/12/31,-57.95,利息支付倍数(%)
2016/12/31,39.04,资产负债率(%)
2017/12/31,61.03,资产负债率(%)
2018/12/31,72.81,资产负债率(%)
2019/12/31,74.71,资产负债率(%)
2020/12/31,79.04,资产负债率(%)
2021/12/31,83.66,资产负债率(%)
2016/12/31,--,长期债务与营运资金比率(%)
2017/12/31,-0.15,长期债务与营运资金比率(%)
2018/12/31,-1.14,长期债务与营运资金比率(%)
2019/12/31,-2.63,长期债务与营运资金比率(%)
2020/12/31,6.9,长期债务与营运资金比率(%)
2021/12/31,-6.56,长期债务与营运资金比率(%)
2016/12/31,60.96,股东权益比率(%)
2017/12/31,38.97,股东权益比率(%)
2018/12/31,27.19,股东权益比率(%)
2019/12/31,25.29,股东权益比率(%)
2020/12/31,20.96,股东权益比率(%)
2021/12/31,16.34,股东权益比率(%)
2016/12/31,--,长期负债比率(%)
2017/12/31,2.71,长期负债比率(%)
2018/12/31,18.48,长期负债比率(%)
2019/12/31,27.52,长期负债比率(%)
2020/12/31,49.81,长期负债比率(%)
2021/12/31,38.41,长期负债比率(%)
2016/12/31,116.42,股东权益与固定资产比率(%)
2017/12/31,161.28,股东权益与固定资产比率(%)
2018/12/31,140.63,股东权益与固定资产比率(%)
2019/12/31,140.28,股东权益与固定资产比率(%)
2020/12/31,111.88,股东权益与固定资产比率(%)
2021/12/31,94.35,股东权益与固定资产比率(%)
2016/12/31,64.03,负债与所有者权益比率(%)
2017/12/31,156.61,负债与所有者权益比率(%)
2018/12/31,267.78,负债与所有者权益比率(%)
2019/12/31,295.46,负债与所有者权益比率(%)
2020/12/31,377.19,负债与所有者权益比率(%)
2021/12/31,512.12,负债与所有者权益比率(%)
2016/12/31,--,长期资产与长期资金比率(%)
2017/12/31,144.27,长期资产与长期资金比率(%)
2018/12/31,146.2,长期资产与长期资金比率(%)
2019/12/31,131.54,长期资产与长期资金比率(%)
2020/12/31,100.02,长期资产与长期资金比率(%)
2021/12/31,124.07,长期资产与长期资金比率(%)
2016/12/31,--,资本化比率(%)
2017/12/31,6.5,资本化比率(%)
2018/12/31,40.47,资本化比率(%)
2019/12/31,52.12,资本化比率(%)
2020/12/31,70.39,资本化比率(%)
2021/12/31,70.16,资本化比率(%)
2016/12/31,57.86,固定资产净值率(%)
2017/12/31,56.92,固定资产净值率(%)
2018/12/31,56.04,固定资产净值率(%)
2019/12/31,56.09,固定资产净值率(%)
2020/12/31,55.86,固定资产净值率(%)
2021/12/31,55.2,固定资产净值率(%)
2016/12/31,68.28,资本固定化比率(%)
2017/12/31,154.3,资本固定化比率(%)
2018/12/31,245.58,资本固定化比率(%)
2019/12/31,274.7,资本固定化比率(%)
2020/12/31,337.73,资本固定化比率(%)
2021/12/31,415.73,资本固定化比率(%)
2016/12/31,63.58,产权比率(%)
2017/12/31,155,产权比率(%)
2018/12/31,250,产权比率(%)
2019/12/31,270.91,产权比率(%)
2020/12/31,342.69,产权比率(%)
2021/12/31,467.3,产权比率(%)
2016/12/31,--,清算价值比率(%)
2017/12/31,163.27,清算价值比率(%)
2018/12/31,145.59,清算价值比率(%)
2019/12/31,142,清算价值比率(%)
2020/12/31,135.51,清算价值比率(%)
2021/12/31,127.87,清算价值比率(%)
2016/12/31,52.37,固定资产比重(%)
2017/12/31,24.16,固定资产比重(%)
2018/12/31,19.33,固定资产比重(%)
2019/12/31,18.03,固定资产比重(%)
2020/12/31,18.73,固定资产比重(%)
2021/12/31,17.32,固定资产比重(%)
